编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
12.01(周五) 9739万   1360.11亿 4003.56  3998.14  4027.11  3984.38  -0.20% +12.1亿  +21.3亿  微幅低开震荡收跌.

11.30(周四) 1.08亿   1458.30亿 4034.01  4006.10  4052.80  3988.00  -1.18% -2.00亿  -4.68亿  低开震荡暴跌! 银行拉升, 否则指数更难看! 黑色星期五!!.

11.29(周三) 1.25亿   1657.43亿 4061.35  4053.75  4069.24  4004.69  -0.05% +10.1亿  +4.24亿  高开震荡探底反弹微跌.

11.28(周二) 1.02亿   1355.40亿 4034.21  4055.82  4056.48  4010.30  +0.14% +21.0亿  +13.7亿  低开震荡微涨..

11.27(周一) 1.43亿   1830.05亿 4088.93  4049.95  4088.93  4037.15  -1.32% -7.02亿  -5.75亿  低震荡大跌！！！黑色星期一!.

11.24(周五) 1.31亿   1829.12亿 4089.47  4104.20  4116.59  4057.49  +0.04% +9.44亿  +0.42亿  低开震荡微涨. 加速震荡！.

11.23(周四) 1.78亿   2375.37亿 4213.38  4102.40  4214.19  4086.90  -2.96% +21.0亿  -0.75亿  低开震荡暴跌！黑色星期四. 受央行限制现金贷政策影响.普跌!!!

11.22(周三) 1.86亿   2542.98亿 4228.37  4227.57  4260.64  4191.15  +0.23% +3.68亿  +1.69亿  高开震荡收涨..

11.21(周二) 1.80亿   2533.02亿 4131.85  4217.70  4220.26  4129.98  +1.78% -4.35亿  -1.03亿  低开震荡放量暴涨.  创新高！！！！.

11.20(周一) 1.37亿   1915.90亿 4093.73  4143.83  4144.51  4060.96  +0.56% -15.0亿  +7.75亿  低开急速下跌震荡反弹收涨.惊天逆转.

11.17(周五) 1.92亿   2530.79亿 4094.08  4120.85  4122.38  4081.37  +0.39% -23.4亿  +9.64亿  低开震荡收涨. 黑色星期五, 深市全面奔溃！！.

11.16(周四) 1.21亿   1729.04亿 4063.49  4105.01  4107.62  4062.27  +0.77% -0.04亿  +6.15亿  低开震荡收涨.

11.15(周三) 1.21亿   1777.53亿 4084.21  4073.67  4102.81  4055.72  -0.63% -11.6亿  -7.88亿  低开震荡收跌. 黑色星期三

11.14(周二) 1.43亿   1996.05亿 4129.27  4099.35  4133.55  4086.89  -0.70% -0.08亿  +4.44亿  微幅高开震荡收跌.

11.13(周一) 1.51亿   2059.31亿 4155.55  4128.07  4137.65  4115.55  +0.39% +1.94亿  +5.40亿  高开震荡收涨. 再创新高！.

11.10(周五) 1.42亿   1988.70亿 4070.28  4111.91  4116.71  4067.66  +0.88% +2.15亿  +1.75亿  低开震荡大涨. 创新高！！

